order_id,order_date,state,product_category,quantity,unit_price,customer_segment
16,2024-03-14,Lagos,Home & Kitchen,18,44962.27,Wholesale
153,2024-03-14,Abuja,Food & Grocery,3,5899.14,Corporate
56,2024-03-17,Kano,Books & Stationery,19,4778.18,Retail
128,2024-03-17,Ogun,Food & Grocery,3,1185.84,Wholesale
85,2024-03-19,Oyo,Fashion,14,20119.17,Retail
143,2024-03-19,Kano,Beauty & Personal Care,17,18077.17,Retail
5,2024-03-22,Oyo,Books & Stationery,9,1919.45,Corporate
24,2024-03-23,Kano,Electronics,20,91176.67,Retail
40,2024-03-25,Abuja,Sports & Fitness,9,55958.49,Wholesale
39,2024-03-26,Abuja,Phones & Accessories,7,156719.87,Corporate
74,2024-03-27,Oyo,Beauty & Personal Care,17,17100.57,Wholesale
133,2024-03-30,Kano,Phones & Accessories,9,39216.13,Retail
65,2024-04-01,Rivers,Beauty & Personal Care,2,4047.46,Retail
108,2024-04-03,Kano,Books & Stationery,9,3250.44,Corporate
44,2024-04-05,Lagos,Fashion,8,19958.57,Corporate
34,2024-04-07,Lagos,Sports & Fitness,12,28296.82,Retail
168,2024-04-07,Rivers,Food & Grocery,4,10889.14,Wholesale
114,2024-04-08,Abuja,Food & Grocery,7,2988.42,Retail
96,2024-04-12,Delta,Food & Grocery,8,1951.54,Wholesale
124,2024-04-16,Rivers,Beauty & Personal Care,3,5190.84,Retail
52,2024-04-17,Oyo,Home & Kitchen,9,42411.09,Retail
93,2024-04-18,Kano,Books & Stationery,13,2803.45,Corporate
3,2024-04-21,Lagos,Electronics,18,61726.85,Wholesale
31,2024-04-22,Lagos,Electronics,8,30839.08,Retail
142,2024-04-25,Enugu,Fashion,15,42776.55,Wholesale
132,2024-04-27,Enugu,Electronics,9,150418.04,Wholesale
59,2024-05-01,Kaduna,Food & Grocery,14,785.04,Wholesale
190,2024-05-01,Rivers,Electronics,6,77361.36,Retail
141,2024-05-02,Oyo,Beauty & Personal Care,18,1821.35,Retail
12,2024-05-05,Lagos,Sports & Fitness,9,59423.78,Wholesale
159,2024-05-05,Kano,Food & Grocery,6,2513.3,Wholesale
30,2024-05-06,Lagos,Books & Stationery,1,5035.82,Retail
121,2024-05-07,Lagos,Sports & Fitness,20,37786.98,Wholesale
7,2024-05-15,Delta,Phones & Accessories,18,29470.1,Corporate
47,2024-05-15,Abuja,Beauty & Personal Care,15,8930.16,Wholesale
127,2024-05-15,Anambra,Home & Kitchen,14,12723.0,Retail
11,2024-05-16,Oyo,Fashion,20,29669.09,Retail
21,2024-05-16,Anambra,Books & Stationery,4,2913.2,Retail
106,2024-05-17,Abuja,Home & Kitchen,3,25198.55,Retail
105,2024-05-18,Rivers,Phones & Accessories,15,82918.81,Wholesale
166,2024-05-20,Lagos,Electronics,20,190115.46,Wholesale
37,2024-05-22,Kano,Fashion,15,36936.93,Corporate
118,2024-05-25,Kano,Phones & Accessories,11,39710.55,Retail
41,2024-05-26,Abuja,Phones & Accessories,5,40662.43,Retail
167,2024-05-26,Anambra,Home & Kitchen,20,64946.83,Retail
140,2024-05-27,Abuja,Phones & Accessories,4,12965.54,Wholesale
165,2024-05-31,Enugu,Beauty & Personal Care,1,24481.7,Wholesale
170,2024-05-31,Abuja,Sports & Fitness,6,16043.71,Wholesale
179,2024-06-04,Enugu,Fashion,4,12861.6,Retail
123,2024-06-05,Rivers,Electronics,20,240625.56,Retail
169,2024-06-07,Anambra,Electronics,19,100742.39,Retail
66,2024-06-09,Abuja,Fashion,13,40779.2,Retail
200,2024-06-09,Oyo,Books & Stationery,5,5745.11,Retail
14,2024-06-10,Abuja,Fashion,7,41351.72,Retail
15,2024-06-10,Lagos,Phones & Accessories,13,160165.5,Wholesale
150,2024-06-11,Anambra,Sports & Fitness,13,59362.77,Wholesale
73,2024-06-13,Kano,Phones & Accessories,7,95921.93,Wholesale
70,2024-06-16,Abuja,Beauty & Personal Care,18,4491.26,Retail
63,2024-06-17,Lagos,Fashion,9,17748.14,Retail
32,2024-06-18,Lagos,Home & Kitchen,9,54842.31,Retail
152,2024-06-18,Kaduna,Phones & Accessories,4,98463.59,Retail
60,2024-06-19,Anambra,Sports & Fitness,8,19674.31,Wholesale
148,2024-06-19,Rivers,Sports & Fitness,15,56306.87,Corporate
84,2024-06-20,Abuja,Fashion,5,9334.89,Retail
6,2024-06-21,Lagos,Sports & Fitness,4,24743.87,Retail
154,2024-06-22,Rivers,Sports & Fitness,3,51847.09,Corporate
199,2024-06-22,Delta,Sports & Fitness,14,45128.69,Retail
95,2024-06-28,Lagos,Fashion,2,34677.79,Corporate
113,2024-06-29,Oyo,Beauty & Personal Care,10,7407.99,Retail
116,2024-07-03,Lagos,Electronics,18,44747.0,Retail
25,2024-07-04,Kaduna,Beauty & Personal Care,8,2861.24,Corporate
183,2024-07-04,Lagos,Books & Stationery,18,7292.21,Wholesale
171,2024-07-06,Kano,Beauty & Personal Care,6,7538.8,Wholesale
174,2024-07-06,Lagos,Sports & Fitness,1,19545.22,Retail
175,2024-07-07,Oyo,Beauty & Personal Care,19,10454.1,Wholesale
176,2024-07-09,Lagos,Home & Kitchen,16,5901.87,Corporate
10,2024-07-13,Lagos,Books & Stationery,6,3465.3,Retail
71,2024-07-13,Oyo,Food & Grocery,20,7044.71,Retail
160,2024-07-14,Rivers,Home & Kitchen,16,73375.01,Retail
164,2024-07-15,Kaduna,Fashion,8,19017.3,Retail
180,2024-07-17,Kano,Sports & Fitness,19,45824.8,Retail
88,2024-07-18,Kaduna,Sports & Fitness,18,46113.36,Retail
90,2024-07-18,Abuja,Sports & Fitness,6,51227.81,Corporate
194,2024-07-24,Abuja,Fashion,16,32920.86,Retail
110,2024-07-27,Kano,Home & Kitchen,16,53088.62,Retail
77,2024-07-31,Kaduna,Home & Kitchen,13,41572.66,Retail
86,2024-07-31,Lagos,Sports & Fitness,13,54766.12,Retail
146,2024-07-31,Abuja,Beauty & Personal Care,1,8146.72,Retail
181,2024-07-31,Oyo,Phones & Accessories,20,78195.93,Corporate
94,2024-08-03,Lagos,Fashion,16,3814.1,Retail
103,2024-08-03,Delta,Fashion,14,43353.08,Wholesale
191,2024-08-03,Kano,Fashion,16,21827.56,Retail
55,2024-08-06,Rivers,Fashion,3,42692.14,Wholesale
17,2024-08-07,Kaduna,Sports & Fitness,12,17062.64,Corporate
102,2024-08-07,Oyo,Fashion,17,30196.82,Retail
81,2024-08-14,Rivers,Sports & Fitness,18,29525.25,Retail
197,2024-08-20,Kano,Sports & Fitness,4,48620.29,Retail
80,2024-08-21,Lagos,Phones & Accessories,17,177917.5,Retail
62,2024-08-23,Abuja,Home & Kitchen,8,5798.5,Retail
104,2024-08-23,Oyo,Sports & Fitness,6,45358.74,Corporate
161,2024-08-24,Rivers,Phones & Accessories,9,122696.6,Corporate
107,2024-08-25,Rivers,Sports & Fitness,11,6578.5,Corporate
162,2024-08-26,Ogun,Food & Grocery,3,5579.89,Retail
82,2024-08-31,Kano,Home & Kitchen,9,62201.84,Retail
119,2024-09-01,Lagos,Fashion,13,23653.36,Retail
172,2024-09-03,Enugu,Beauty & Personal Care,11,20399.46,Retail
144,2024-09-04,Enugu,Home & Kitchen,15,45896.15,Retail
139,2024-09-12,Rivers,Electronics,7,77758.22,Retail
43,2024-09-14,Ogun,Food & Grocery,2,11548.96,Retail
18,2024-09-17,Kano,Electronics,4,50917.71,Retail
122,2024-09-24,Abuja,Phones & Accessories,10,155948.67,Corporate
20,2024-09-27,Lagos,Electronics,4,175201.94,Retail
155,2024-09-30,Abuja,Books & Stationery,16,7081.16,Retail
138,2024-10-04,Kano,Electronics,7,136833.26,Wholesale
50,2024-10-05,Oyo,Electronics,18,85354.01,Wholesale
4,2024-10-06,Abuja,Phones & Accessories,19,55848.8,Corporate
13,2024-10-12,Lagos,Books & Stationery,2,2449.15,Retail
177,2024-10-14,Abuja,Home & Kitchen,3,52290.7,Retail
97,2024-10-15,Ogun,Phones & Accessories,9,139906.47,Retail
46,2024-10-16,Kano,Beauty & Personal Care,7,17238.56,Retail
45,2024-10-18,Lagos,Electronics,20,34266.1,Wholesale
112,2024-10-24,Abuja,Books & Stationery,14,7975.75,Retail
196,2024-10-26,Kano,Books & Stationery,13,7961.32,Retail
147,2024-10-27,Rivers,Phones & Accessories,5,84806.15,Retail
163,2024-10-27,Lagos,Sports & Fitness,9,30125.97,Retail
187,2024-10-27,Lagos,Home & Kitchen,11,62852.01,Wholesale
115,2024-10-28,Enugu,Beauty & Personal Care,4,21066.77,Retail
100,2024-10-30,Oyo,Home & Kitchen,4,56986.67,Retail
192,2024-10-30,Lagos,Home & Kitchen,20,7295.74,Wholesale
129,2024-10-31,Anambra,Beauty & Personal Care,15,4422.31,Wholesale
188,2024-11-01,Lagos,Food & Grocery,5,6712.48,Wholesale
131,2024-11-02,Lagos,Sports & Fitness,11,38204.25,Retail
145,2024-11-02,Kano,Food & Grocery,3,3676.85,Wholesale
89,2024-11-04,Kaduna,Phones & Accessories,8,54944.87,Retail
28,2024-11-06,Abuja,Home & Kitchen,18,61400.15,Wholesale
98,2024-11-06,Enugu,Fashion,6,43518.27,Retail
91,2024-11-14,Kano,Sports & Fitness,19,36041.56,Retail
69,2024-11-15,Abuja,Fashion,10,24299.15,Wholesale
83,2024-11-16,Lagos,Phones & Accessories,3,130729.72,Retail
134,2024-11-21,Delta,Fashion,16,17614.36,Retail
1,2024-11-23,Lagos,Beauty & Personal Care,8,6745.45,Wholesale
92,2024-11-25,Abuja,Phones & Accessories,6,16648.96,Retail
151,2024-11-29,Enugu,Phones & Accessories,2,29714.36,Corporate
78,2024-12-01,Oyo,Fashion,14,12191.33,Wholesale
198,2024-12-01,Oyo,Home & Kitchen,14,38318.17,Retail
193,2024-12-03,Kano,Phones & Accessories,1,18461.97,Retail
9,2024-12-04,Lagos,Beauty & Personal Care,3,21599.97,Corporate
136,2024-12-05,Ogun,Electronics,15,35694.05,Retail
68,2024-12-09,Lagos,Sports & Fitness,3,57188.1,Corporate
135,2024-12-09,Lagos,Food & Grocery,11,5233.92,Retail
2,2024-12-12,Anambra,Fashion,19,20720.72,Retail
64,2024-12-13,Enugu,Books & Stationery,1,1630.46,Corporate
19,2024-12-14,Abuja,Fashion,13,19028.01,Corporate
101,2024-12-16,Rivers,Fashion,19,35870.68,Retail
120,2024-12-17,Lagos,Food & Grocery,19,11414.94,Retail
79,2024-12-22,Kano,Electronics,18,73561.6,Wholesale
87,2024-12-22,Lagos,Sports & Fitness,16,5324.28,Retail
149,2024-12-23,Lagos,Sports & Fitness,8,52080.71,Retail
130,2024-12-24,Abuja,Beauty & Personal Care,17,14189.57,Retail
178,2024-12-24,Abuja,Sports & Fitness,4,12687.74,Corporate
109,2024-12-25,Kaduna,Electronics,17,237794.71,Retail
29,2024-12-31,Abuja,Books & Stationery,15,7277.22,Retail
